"airline","source_iata","dest_iata","stops","equipment"
"DL","AMS","ATL",0,"333 76W"
"KL","AMS","ATL",0," 777"
"HV","AMS","BCN",0,"73H 73W"
"IB","AMS","BCN",0,"320"
"KL","AMS","BCN",0,"737"
"MU","AMS","BCN",0,"737"
"VY","AMS","BCN",0,"320"
"AF","AMS","CDG",0,"321 320 319 318 32A"
"KL","AMS","CDG",0,"737"
"MU","AMS","CDG",0,"737"
"DL","AMS","DFW",0,"332"
"KL","AMS","DFW",0,"330"
"AZ","AMS","DXB",0,"777"
"EK","AMS","DXB",0,"388"
"KL","AMS","DXB",0,"777"
"ET","AMS","FRA",0,"32A 319"
"KL","AMS","FRA",0,"EMJ F70"
"LH","AMS","FRA",0,"733 735 320 319 32A 321"
"MU","AMS","FRA",0,"EMJ F70"
"KE","AMS","ICN",0,"332"
"KL","AMS","ICN",0,"74M 330"
"KL","AMS","IST",0,"737"
"TK","AMS","IST",0,"343 321 320 330"
"DL","AMS","JFK",0,"76W"
"KL","AMS","JFK",0,"330 777 74M 747"
"DL","AMS","LAX",0,"74M 747"
"KL","AMS","LAX",0,"74M 747"
"BA","AMS","LGW",0,"319 734"
"U2","AMS","LGW",0,"319 320"
"AA","AMS","LHR",0,"320 767 321 319"
"BA","AMS","LHR",0,"320 767 319 321"
"CI","AMS","LHR",0,"F70"
"KL","AMS","LHR",0,"737 F70 EMJ"
"MU","AMS","LHR",0,"737 F70"
"KL","AMS","MUC",0,"737"
"LH","AMS","MUC",0,"E95 CR9"
"DL","AMS","ORD",0,"74M"
"KL","AMS","ORD",0,"74M"
"LH","AMS","ORD",0,"763"
"UA","AMS","ORD",0,"763"
"CZ","AMS","PEK",0,"332"
"KL","AMS","PEK",0,"74M"
"CZ","AMS","PVG",0,"74M 747"
"KL","AMS","PVG",0,"74M 747"
"MU","AMS","PVG",0,"74M"
"KL","AMS","SIN",0,"777"
"SQ","AMS","SIN",0,"772 77W"
"DL","ATL","AMS",0,"333 76W"
"KL","ATL","AMS",0,"777 "
"AF","ATL","CDG",0,"77W 744 772 74Y"
"AM","ATL","CDG",0,"76W"
"AZ","ATL","CDG",0,"77W 744 772"
"DL","ATL","CDG",0,"76W"
"AC","ATL","DEN",0,"CR7"
"AF","ATL","DEN",0,"M90 757 738"
"AM","ATL","DEN",0,"M90 738 757"
"AZ","ATL","DEN",0,"M90"
"DL","ATL","DEN",0,"M90 738 757"
"F9","ATL","DEN",0,"319"
"FL","ATL","DEN",0,"73G"
"KL","ATL","DEN",0,"757 M90"
"UA","ATL","DEN",0,"CR7"
"VS","ATL","DEN",0,"757 M90"
"WN","ATL","DEN",0,"73W"
"AA","ATL","DFW",0,"M80 319 M83"
"AF","ATL","DFW",0,"M88 319"
"AZ","ATL","DFW",0,"M88"
"BA","ATL","DFW",0,""
"CI","ATL","DFW",0,"74Y"
"DL","ATL","DFW",0,"M88 319 738"
"KL","ATL","DFW",0,"M88"
"NK","ATL","DFW",0,"320"
"QF","ATL","DFW",0,"M80 319 M83"
"US","ATL","DFW",0,"M80 319 M83"
"VS","ATL","DFW",0,"M88 738"
"DL","ATL","DXB",0,"77L"
"AF","ATL","FRA",0,"764"
"DL","ATL","FRA",0,"764"
"KL","ATL","FRA",0,"764"
"LH","ATL","FRA",0,"343 M1F"
"UA","ATL","FRA",0,"343"
"DL","ATL","ICN",0,"77W"
"KE","ATL","ICN",0,"77W"
"AF","ATL","JFK",0,"319 752 M88 738"
"AM","ATL","JFK",0,"738 319 73H"
"AZ","ATL","JFK",0,"319"
"DL","ATL","JFK",0,"319 752 738 M88 73H "
"KE","ATL","JFK",0,"74N"
"KL","ATL","JFK",0,"319 752 738 M88 73H"
"OZ","ATL","JFK",0,""
"SU","ATL","JFK",0,"319 752 738 M88 73H"
"VS","ATL","JFK",0,"319 752 738 M88 73H"
"WS","ATL","JFK",0,"738"
"AF","ATL","LAX",0,"76W 763 757 739"
"AS","ATL","LAX",0,"757 76W 763 739"
"AZ","ATL","LAX",0,"763"
"CI","ATL","LAX",0,"763"
"DL","ATL","LAX",0,"757 76W 763 739"
"FL","ATL","LAX",0,"73G"
"KL","ATL","LAX",0,"763 757 739"
"VA","ATL","LAX",0,"757 76W 763 739"
"VS","ATL","LAX",0,"763 757 739"
"WN","ATL","LAX",0,"73W"
"AA","ATL","LHR",0,"777"
"AF","ATL","LHR",0,"764 77L 76W"
"AY","ATL","LHR",0,"777"
"BA","ATL","LHR",0,"777 "
"DL","ATL","LHR",0,"764 77L 76W"
"IB","ATL","LHR",0,"777"
"KL","ATL","LHR",0,"764 77L 76W"
"VS","ATL","LHR",0,"764 77L 76W"
"AA","ATL","MIA",0,"738"
"AF","ATL","MIA",0,"M90 757 320"
"AM","ATL","MIA",0,"M90"
"AS","ATL","MIA",0,"757 320 73H"
"AZ","ATL","MIA",0,"M88 757 M90 73H"
"BA","ATL","MIA",0,"738 ERD"
"DL","ATL","MIA",0,"M88 M90 757 320 73H "
"IB","ATL","MIA",0,"738"
"KL","ATL","MIA",0,"757 320"
"US","ATL","MIA",0,"738 ERD ER4"
"VA","ATL","MIA",0,"M88 M90 757 320 73H"
"VS","ATL","MIA",0,"757 320"
"AF","ATL","MUC",0,"764"
"DL","ATL","MUC",0,"764"
"KL","ATL","MUC",0,"764"
"AA","ATL","ORD",0,"CR7 E75"
"AF","ATL","ORD",0,"757 319 320 M88 M90"
"AZ","ATL","ORD",0,"757 717 M88"
"BA","ATL","ORD",0,"E75 CR7"
"CX","ATL","ORD",0,"E75"
"DL","ATL","ORD",0,"757 319 320 717 M88 M90"
"EI","ATL","ORD",0,"CR7 ERJ E70"
"EY","ATL","ORD",0,"E75 CR7"
"IB","ATL","ORD",0,"E75"
"KL","ATL","ORD",0,"757 319 320 M90 M88"
"LH","ATL","ORD",0,"CR7"
"MH","ATL","ORD",0,"E75 CR7"
"NH","ATL","ORD",0,"CR7"
"OZ","ATL","ORD",0,"CR7"
"QF","ATL","ORD",0,"E75 CR7"
"QR","ATL","ORD",0,"CR7"
"UA","ATL","ORD",0,"CR7 ERJ E70"
"US","ATL","ORD",0,"CR7 E75"
"VS","ATL","ORD",0,"757 319 320 M90 M88 717"
"HV","BCN","AMS",0,"73H 73W"
"IB","BCN","AMS",0,"320"
"KL","BCN","AMS",0,"737"
"MU","BCN","AMS",0,"737"
"VY","BCN","AMS",0,"320"
"AF","BCN","CDG",0,"321 32A 318 320"
"IB","BCN","CDG",0,"320"
"U2","BCN","CDG",0,"319"
"UX","BCN","CDG",0,"32S"
"VY","BCN","CDG",0,"320 319"
"EK","BCN","DXB",0,"388"
"ET","BCN","FRA",0,"321"
"IB","BCN","FRA",0,"320"
"LH","BCN","FRA",0,"321 320 319 32A"
"VY","BCN","FRA",0,"320"
"TK","BCN","IST",0,"320 332 321 738 330"
"AA","BCN","JFK",0,"763"
"AF","BCN","JFK",0,"333"
"AY","BCN","JFK",0,"763"
"BA","BCN","JFK",0,"763"
"DL","BCN","JFK",0,"333"
"IB","BCN","JFK",0,"763"
"KL","BCN","JFK",0,"330"
"QR","BCN","JFK",0,"763"
"US","BCN","JFK",0,"763"
"BA","BCN","LGW",0,"319 734 320"
"DY","BCN","LGW",0,"73H"
"IB","BCN","LGW",0,"320 319 734"
"U2","BCN","LGW",0,"319 320"
"VY","BCN","LGW",0,"320"
"ZB","BCN","LGW",0,"321 752"
"AA","BCN","LHR",0,"320 319 321 767"
"BA","BCN","LHR",0,"320 319 321 767"
"IB","BCN","LHR",0,"320 319 321"
"AA","BCN","MIA",0,"763"
"AY","BCN","MIA",0,"763"
"BA","BCN","MIA",0,"763"
"IB","BCN","MIA",0,"763"
"US","BCN","MIA",0,"763"
"IB","BCN","MUC",0,"320"
"LH","BCN","MUC",0,"321 319 320 E95"
"VY","BCN","MUC",0,"320"
"SQ","BCN","SIN",0,"77W"
"AF","CDG","AMS",0,"321 320 319 318 32A"
"KL","CDG","AMS",0,"737"
"MU","CDG","AMS",0,"737"
"AF","CDG","ATL",0,"77W 744 772"
"AM","CDG","ATL",0,"76W"
"AZ","CDG","ATL",0,"77W 744 772"
"DL","CDG","ATL",0,"76W"
"AF","CDG","BCN",0,"321 32A 318 320"
"IB","CDG","BCN",0,"320"
"U2","CDG","BCN",0,"319"
"UX","CDG","BCN",0,"32S"
"VY","CDG","BCN",0,"320 319"
"AA","CDG","DFW",0,"763 777"
"AY","CDG","DFW",0,"763 777"
"BA","CDG","DFW",0,"763 777"
"IB","CDG","DFW",0,"763 777"
"MH","CDG","DFW",0,"763 777"
"US","CDG","DFW",0,"763 777"
"AF","CDG","DXB",0,"77W"
"AZ","CDG","DXB",0,"77W"
"EK","CDG","DXB",0,"77W 388"
"AF","CDG","FRA",0,"318"
"LH","CDG","FRA",0,"319 321 32A 735 320 733"
"AF","CDG","ICN",0,"77W 772"
"KE","CDG","ICN",0,"388"
"OZ","CDG","ICN",0,"772"
"8Q","CDG","IST",0,"320"
"AF","CDG","IST",0,"319 320 321"
"TK","CDG","IST",0,"320 330 321 332 77W 738"
"AA","CDG","JFK",0,"763 757"
"AF","CDG","JFK",0,"332 772 388 343"
"AY","CDG","JFK",0,"763 757"
"AZ","CDG","JFK",0,"332 388 772 343"
"BA","CDG","JFK",0,"763 757"
"DL","CDG","JFK",0,"332 772 388 343"
"EY","CDG","JFK",0,"767"
"IB","CDG","JFK",0,"763 757"
"QR","CDG","JFK",0,"763"
"SE","CDG","JFK",0,"763 332"
"US","CDG","JFK",0,"763 757"
"AF","CDG","LAX",0,"388 772"
"AZ","CDG","LAX",0,"388 772"
"DL","CDG","LAX",0,"772"
"TN","CDG","LAX",0,"343"
"U2","CDG","LGW",0,"319"
"AA","CDG","LHR",0,"319 320 321"
"AF","CDG","LHR",0,"321 319 320"
"BA","CDG","LHR",0,"319 320 321"
"AA","CDG","MIA",0,"763"
"AF","CDG","MIA",0,"77W"
"AY","CDG","MIA",0,"763"
"AZ","CDG","MIA",0,"77W"
"BA","CDG","MIA",0,"763"
"DL","CDG","MIA",0,"77W"
"IB","CDG","MIA",0,"763"
"MH","CDG","MIA",0,"763"
"US","CDG","MIA",0,"763"
"AF","CDG","MUC",0,"319 318 320 32A 321"
"LH","CDG","MUC",0,"E95 320 321 319"
"AA","CDG","ORD",0,"763"
"AF","CDG","ORD",0,"332"
"AY","CDG","ORD",0,"763"
"BA","CDG","ORD",0,"763"
"DL","CDG","ORD",0,"332"
"IB","CDG","ORD",0,"763"
"LH","CDG","ORD",0,"763"
"MH","CDG","ORD",0,"763"
"UA","CDG","ORD",0,"763"
"US","CDG","ORD",0,"763"
"AF","CDG","PEK",0,"772 77W"
"CA","CDG","PEK",0,"773"
"JJ","CDG","PEK",0,"773"
"MU","CDG","PEK",0,"772 77W"
"AF","CDG","PVG",0,"77W 388 772"
"CA","CDG","PVG",0,"330"
"MU","CDG","PVG",0,"332"
"AF","CDG","SIN",0,"77W"
"SQ","CDG","SIN",0,"388"
"AC","DEN","ATL",0,"CR7"
"AF","DEN","ATL",0,"757 M90 738"
"AM","DEN","ATL",0,"M90 738"
"AZ","DEN","ATL",0,"757"
"DL","DEN","ATL",0,"757 M90 738"
"F9","DEN","ATL",0,"319"
"FL","DEN","ATL",0,"73G"
"KL","DEN","ATL",0,"757 M90"
"UA","DEN","ATL",0,"CR7"
"VS","DEN","ATL",0,"757 M90 738"
"WN","DEN","ATL",0,"73W"
"AA","DEN","DFW",0,"738 M83 M80"
"F9","DEN","DFW",0,"319 320"
"NK","DEN","DFW",0,"320 319"
"UA","DEN","DFW",0,"319 739 73G"
"US","DEN","DFW",0,"738 M83 M80"
"LH","DEN","FRA",0,"744"
"UA","DEN","FRA",0,"744"
"B6","DEN","JFK",0,"320"
"DL","DEN","JFK",0,"73H"
"AA","DEN","LAX",0,"CR7"
"AS","DEN","LAX",0,"CR7"
"F9","DEN","LAX",0,"319 320"
"FL","DEN","LAX",0,"73W 73C"
"UA","DEN","LAX",0,"739 320 319 738 753 752"
"US","DEN","LAX",0,"CR7"
"WN","DEN","LAX",0,"733 73H 73C 73W"
"AA","DEN","LHR",0,"777"
"AY","DEN","LHR",0,"777"
"BA","DEN","LHR",0,"777"
"IB","DEN","LHR",0,"777"
"AA","DEN","MIA",0,"738"
"UA","DEN","MIA",0,"319"
"US","DEN","MIA",0,"738"
"AA","DEN","ORD",0,"M80 M83"
"NK","DEN","ORD",0,"320"
"UA","DEN","ORD",0,"739 752 738 319 320 73G"
"US","DEN","ORD",0,"CR7"
"DL","DFW","AMS",0,"332"
"KL","DFW","AMS",0,"330"
"AA","DFW","ATL",0,"M83 M80 319"
"AF","DFW","ATL",0,"M88 319"
"AZ","DFW","ATL",0,"M88"
"BA","DFW","ATL",0,"M80 M83"
"DL","DFW","ATL",0,"M88 319"
"KL","DFW","ATL",0,"M88 319"
"NK","DFW","ATL",0,"320"
"QF","DFW","ATL",0,"M83 M80 319"
"US","DFW","ATL",0,"M83 M80 319"
"VS","DFW","ATL",0,"M88 319"
"AA","DFW","CDG",0,"763 777"
"AY","DFW","CDG",0,"763 777"
"BA","DFW","CDG",0,"763 777"
"IB","DFW","CDG",0,"763 777"
"US","DFW","CDG",0,"763 777"
"AA","DFW","DEN",0,"738 M80 M83"
"F9","DFW","DEN",0,"319 320"
"NK","DFW","DEN",0,"320 319"
"UA","DFW","DEN",0,"319 738 320 739"
"US","DFW","DEN",0,"738 M80 M83"
"B6","DFW","DXB",0,"77L"
"EK","DFW","DXB",0,"77L"
"AA","DFW","FRA",0,"777"
"AB","DFW","FRA",0,"777"
"AY","DFW","FRA",0,"777"
"BA","DFW","FRA",0,"777"
"IB","DFW","FRA",0,"777"
"LH","DFW","FRA",0,"333"
"MH","DFW","FRA",0,"777"
"UA","DFW","FRA",0,"333"
"US","DFW","FRA",0,"777"
"AA","DFW","ICN",0,"777"
"DL","DFW","ICN",0,"772"
"KE","DFW","ICN",0,"772"
"US","DFW","ICN",0,"777"
"AA","DFW","JFK",0,"738"
"DL","DFW","JFK",0,"CR9"
"US","DFW","JFK",0,"738"
"AA","DFW","LAX",0,"738 763 757 M83"
"AS","DFW","LAX",0,"738 763 757 M83"
"NK","DFW","LAX",0,"319"
"UA","DFW","LAX",0,"CR7"
"US","DFW","LAX",0,"738 763 757 M83"
"VX","DFW","LAX",0,"319 320"
"AA","DFW","LHR",0,"77W 777"
"AY","DFW","LHR",0,"744"
"BA","DFW","LHR",0,"744"
"IB","DFW","LHR",0,"77W 744 777"
"MH","DFW","LHR",0,"777"
"US","DFW","LHR",0,"77W 777"
"AA","DFW","MIA",0,"738 763 757"
"US","DFW","MIA",0,"738 763 757"
"AA","DFW","ORD",0,"M80 M83"
"NK","DFW","ORD",0,"320"
"UA","DFW","ORD",0,"319"
"US","DFW","ORD",0,"M80 M83"
"AZ","DXB","AMS",0,"777"
"EK","DXB","AMS",0,"388"
"KL","DXB","AMS",0,"777"
"DL","DXB","ATL",0,"77L"
"EK","DXB","BCN",0,"388"
"AF","DXB","CDG",0,"77W"
"AZ","DXB","CDG",0,"77W"
"EK","DXB","CDG",0,"77W 388"
"B6","DXB","DFW",0,"77L"
"EK","DXB","DFW",0,"77L"
"EK","DXB","FRA",0,"77W"
"LH","DXB","FRA",0,"343"
"QF","DXB","FRA",0,"77W"
"EK","DXB","ICN",0,"388"
"KE","DXB","ICN",0,"332"
"EK","DXB","IST",0,"77W"
"QF","DXB","IST",0,"77W"
"TK","DXB","IST",0,"332 343 77W 321"
"B6","DXB","JFK",0,"388"
"EK","DXB","JFK",0,"388"
"B6","DXB","LAX",0,"388"
"EK","DXB","LAX",0,"388"
"EK","DXB","LGW",0,"77W 388"
"QF","DXB","LGW",0,"77W 388"
"AA","DXB","LHR",0,"744 777"
"BA","DXB","LHR",0,"744 777"
"EK","DXB","LHR",0,"388"
"QF","DXB","LHR",0,"388"
"VS","DXB","LHR",0,"333"
"EK","DXB","MUC",0,"388"
"LH","DXB","MUC",0,"333"
"QF","DXB","MUC",0,"388"
"CA","DXB","PEK",0,"333"
"EK","DXB","PEK",0,"388 77W"
"EK","DXB","PVG",0,"388 77W"
"EK","DXB","SIN",0,"77W 388"
"ET","DXB","SIN",0,"77W 333"
"MS","DXB","SIN",0,"333"
"QF","DXB","SIN",0,"77W 388"
"SQ","DXB","SIN",0,"77W 333"
"ET","FRA","AMS",0,"733"
"KL","FRA","AMS",0,"EMJ F70"
"LH","FRA","AMS",0,"735 320 319 733 32A 321"
"MU","FRA","AMS",0,"EMJ"
"AF","FRA","ATL",0,"764"
"BA","FRA","ATL",0,""
"DL","FRA","ATL",0,"764"
"KL","FRA","ATL",0,"764"
"LH","FRA","ATL",0,"343"
"UA","FRA","ATL",0,"343"
"ET","FRA","BCN",0,"321"
"IB","FRA","BCN",0,"320"
"LH","FRA","BCN",0,"321 320 319 32A"
"VY","FRA","BCN",0,"320"
"AF","FRA","CDG",0,"318"
"LH","FRA","CDG",0,"321 32A 735 319 320 733"
"LH","FRA","DEN",0,"744"
"UA","FRA","DEN",0,"744"
"AA","FRA","DFW",0,"777"
"AB","FRA","DFW",0,"777"
"AY","FRA","DFW",0,"777"
"BA","FRA","DFW",0,"777"
"IB","FRA","DFW",0,"777"
"LH","FRA","DFW",0,"333"
"MH","FRA","DFW",0,"777"
"UA","FRA","DFW",0,"333"
"US","FRA","DFW",0,"777"
"EK","FRA","DXB",0,"77W"
"LH","FRA","DXB",0,"343"
"QF","FRA","DXB",0,"77W"
"KE","FRA","ICN",0,"744"
"LH","FRA","ICN",0,"74H"
"OZ","FRA","ICN",0,"74E"
"LH","FRA","IST",0,"321"
"TK","FRA","IST",0,"320 330 321 343 332"
"US","FRA","IST",0,"320 330 321 343 332"
"AF","FRA","JFK",0,"76W"
"DL","FRA","JFK",0,"76W"
"ET","FRA","JFK",0,"388"
"KL","FRA","JFK",0,"76W"
"LH","FRA","JFK",0,"388 744"
"SQ","FRA","JFK",0,"388"
"UA","FRA","JFK",0,"388 744"
"US","FRA","JFK",0,"388"
"LH","FRA","LAX",0,"74H"
"UA","FRA","LAX",0,"74H"
"AA","FRA","LHR",0,"320 767 319"
"AB","FRA","LHR",0,"320 767 319"
"BA","FRA","LHR",0,"320 767 319"
"LH","FRA","LHR",0,"32A 319 320 321 733"
"LH","FRA","MIA",0,"388"
"UA","FRA","MIA",0,"388"
"ET","FRA","MUC",0,"320 319"
"LH","FRA","MUC",0,"320 321 32A 319"
"LH","FRA","ORD",0,"74H 744"
"UA","FRA","ORD",0,"777 744"
"CA","FRA","PEK",0,"773"
"LH","FRA","PEK",0,"388"
"CA","FRA","PVG",0,"330"
"LH","FRA","PVG",0,"388 744"
"MU","FRA","PVG",0,"332"
"LH","FRA","SIN",0,"388"
"SQ","FRA","SIN",0,"388 77W"
"US","FRA","SIN",0,"388"
"KE","ICN","AMS",0,"332"
"KL","ICN","AMS",0,"74M 330"
"DL","ICN","ATL",0,"77W"
"KE","ICN","ATL",0,"77W"
"AF","ICN","CDG",0,"77W 772"
"KE","ICN","CDG",0,"388"
"OZ","ICN","CDG",0,"772"
"AA","ICN","DFW",0,"777"
"DL","ICN","DFW",0,"772"
"KE","ICN","DFW",0,"772"
"US","ICN","DFW",0,"777"
"EK","ICN","DXB",0,"388"
"KE","ICN","DXB",0,"332"
"KE","ICN","FRA",0,"744"
"LH","ICN","FRA",0,"74H"
"OZ","ICN","FRA",0,"74E"
"KE","ICN","IST",0,"772"
"OZ","ICN","IST",0,"333"
"TK","ICN","IST",0,"343 330"
"DL","ICN","JFK",0,"388 77W"
"KE","ICN","JFK",0,"388 77W"
"OZ","ICN","JFK",0,"77W"
"UA","ICN","JFK",0,"77W"
"DL","ICN","LAX",0,"388 77W"
"KE","ICN","LAX",0,"388 77W"
"OZ","ICN","LAX",0,"744 77L"
"TG","ICN","LAX",0,"777"
"UA","ICN","LAX",0,"744 77L"
"BA","ICN","LHR",0,"777"
"KE","ICN","LHR",0,"77W"
"OZ","ICN","LHR",0,"77L"
"LH","ICN","MUC",0,"346"
"DL","ICN","ORD",0,"772 77W"
"KE","ICN","ORD",0,"772 77W"
"OZ","ICN","ORD",0,"772"
"CA","ICN","PEK",0,"330 738"
"CZ","ICN","PEK",0,"321"
"KE","ICN","PEK",0,"773 772 332"
"OZ","ICN","PEK",0,"321 333"
"CZ","ICN","PVG",0,"738"
"FM","ICN","PVG",0,"738"
"KE","ICN","PVG",0,"77W 333 772"
"MU","ICN","PVG",0,"332 321"
"OZ","ICN","PVG",0,"744 333 763"
"AI","ICN","SIN",0,"77W"
"KE","ICN","SIN",0,"773 77W"
"OZ","ICN","SIN",0,"333"
"SQ","ICN","SIN",0,"333 77W"
"US","ICN","SIN",0,"77W"
"KL","IST","AMS",0,"737"
"TK","IST","AMS",0,"343 321 320 330"
"TK","IST","BCN",0,"332 321 738 320 330"
"8Q","IST","CDG",0,"320"
"AF","IST","CDG",0,"320 319 321"
"TK","IST","CDG",0,"330 321 320 332 77W 738"
"EK","IST","DXB",0,"77W"
"QF","IST","DXB",0,"77W"
"TK","IST","DXB",0,"77W 321 343 332 330"
"LH","IST","FRA",0,"321"
"TK","IST","FRA",0,"320 330 321 343 332"
"US","IST","FRA",0,"330 321 320 343 332"
"KE","IST","ICN",0,"772"
"OZ","IST","ICN",0,"333"
"TK","IST","ICN",0,"343 330"
"TK","IST","JFK",0,"330 77W"
"US","IST","JFK",0,"330 77W"
"TK","IST","LAX",0,"77W"
"US","IST","LAX",0,"77W"
"TK","IST","LGW",0,"739 321 738"
"AA","IST","LHR",0,"320"
"BA","IST","LHR",0,"320 767"
"TK","IST","LHR",0,"77W 321"
"LH","IST","MUC",0,"321 320"
"OZ","IST","MUC",0,"321"
"TK","IST","MUC",0,"321 320 738"
"US","IST","MUC",0,"321 320 738"
"TK","IST","ORD",0,"330"
"US","IST","ORD",0,"330"
"CA","IST","PEK",0,"77W"
"TK","IST","PEK",0,"77W"
"CA","IST","PVG",0,"77W"
"TK","IST","PVG",0,"77W"
"GA","IST","SIN",0,"333"
"SQ","IST","SIN",0,"772"
"TK","IST","SIN",0,"330"
"DL","JFK","AMS",0,"76W"
"KL","JFK","AMS",0,"330 777 74M 747"
"AF","JFK","ATL",0,"319 738 752"
"AM","JFK","ATL",0,"752 319 757 738"
"AZ","JFK","ATL",0,"752 319 M88 738"
"DL","JFK","ATL",0,"752 757 319 738 M88 "
"KL","JFK","ATL",0,"319 738 752 M88"
"SU","JFK","ATL",0,"752 319 738 757 M88"
